episode_idx,timestep,object_idx,identity_key_0,identity_key_1,last_pos_x,last_pos_y,occluded,feature_confidence,trajectory_confidence,total_confidence
1,16,0,1.0000,0.0000,49.9482,52.2953,False,0.0000,0.3044,0.6956
1,16,1,0.0000,1.0000,2.8178,42.6130,False,0.0000,0.0689,0.9311
1,17,0,1.0000,0.0000,48.9624,51.9469,False,0.0000,0.3223,0.6777
1,17,1,0.0000,1.0000,3.4113,41.7915,False,0.0000,0.0730,0.9270
1,18,0,1.0000,0.0000,47.7740,51.4464,False,0.0000,0.3448,0.6552
1,18,1,0.0000,1.0000,3.9958,40.9019,False,0.0000,0.0770,0.9230
1,19,0,1.0000,0.0000,46.5009,50.9942,False,0.0000,0.3626,0.6374
1,19,1,0.0000,1.0000,4.5640,39.8183,False,0.0000,0.0807,0.9193
2,0,0,0.0000,1.0000,21.1957,22.5404,False,0.0000,0.3900,0.6100
2,0,1,1.0000,0.0000,20.0034,10.9760,False,0.0000,0.3294,0.6706
2,1,0,0.0000,1.0000,19.8151,23.1905,False,0.0000,0.4302,0.5698
2,1,1,1.0000,0.0000,19.7755,10.9676,False,0.0000,0.3365,0.6635
2,2,0,0.0000,1.0000,18.6702,24.0094,False,0.0000,0.4527,0.5473
2,2,1,1.0000,0.0000,19.7113,11.2321,False,0.0000,0.3415,0.6585
2,3,0,0.0000,1.0000,17.7724,25.0115,False,0.0000,0.4518,0.5482
2,3,1,1.0000,0.0000,19.5799,11.5550,False,0.0000,0.3520,0.6480
2,4,0,0.0000,1.0000,17.1573,26.0604,False,0.0000,0.4323,0.5677
2,4,1,1.0000,0.0000,19.5125,12.0157,False,0.0000,0.3655,0.6345
2,5,0,0.0000,1.0000,16.5944,27.0531,False,0.0000,0.4088,0.5912
2,5,1,1.0000,0.0000,19.5553,12.5589,False,0.0000,0.3784,0.6216
2,6,0,0.0000,1.0000,16.1537,27.9892,False,0.0000,0.3828,0.6172
2,6,1,1.0000,0.0000,19.6662,13.3223,False,0.0000,0.3944,0.6056
2,7,0,0.0000,1.0000,15.8451,28.9685,False,0.0000,0.3533,0.6467
2,7,1,1.0000,0.0000,19.7086,14.1618,False,0.0000,0.4132,0.5868
