mechanism,conflict_type,identity_under_conflict,conflict_resolution_rate_feature_correct,conflict_resolution_rate_trajectory_correct,chosen_source_feature_rate,chosen_source_trajectory_rate,chosen_source_uncertain_rate
FeatureOnly,feature_wrong_trajectory_correct,0.0000,1.0000,0.0000,nan,nan,nan
TrajectoryOnly,feature_wrong_trajectory_correct,0.9429,0.0571,0.9429,nan,nan,nan
Hybrid_b1.0,feature_wrong_trajectory_correct,0.0286,0.9524,0.0476,nan,nan,nan
ObjectFile_v4,feature_wrong_trajectory_correct,0.9333,0.0667,0.9333,nan,nan,nan
ImprovedObjectFile,feature_wrong_trajectory_correct,0.6095,0.3905,0.6095,1.0000,0.0000,0.0000
