model,k,version,clean_mse,cf_mse,comp_mse,clean_skill,cf_skill,comp_skill,identity_acc,gated_svt_score,gate_passed,old_smss
RawDeltaKNN,1,v2_delta,41.907194697448865,299.9084551399558,43.97907928162822,0.8572366647169508,0.19125628630022207,0.8584393555882143,0.555,0.07811223414194142,True,0.0
RawDeltaKNN,3,v2_delta,28.847876178175465,275.6771953160317,29.922900512193454,0.9017252515048576,0.25659915583845994,0.9036836343923789,0.57,0.11918476045105106,True,0.0
RawDeltaKNN,5,v2_delta,27.430143361864886,269.6461965975294,28.29974594273336,0.9065549774470966,0.2728625596116012,0.9089082732567194,0.57,0.12815424834696598,True,0.0
RawDeltaKNN,10,v2_delta,27.214759113591434,254.91755442677038,28.52200493882943,0.9072887171753925,0.31258033536212515,0.9081928620378488,0.565,0.14552368882641675,True,0.0
TranslationNormalizedDeltaKNN,1,v2_delta,38.286431926779976,302.43356349674553,42.64312379076425,0.8695713526659118,0.1844469900801089,0.8627395529384387,0.565,0.07818167185190145,True,0.0
TranslationNormalizedDeltaKNN,3,v2_delta,26.30424500668693,280.97566627222716,28.046600174293555,0.9103905241959389,0.24231111225514634,0.9097231033690321,0.57,0.11438923082011276,True,0.0
TranslationNormalizedDeltaKNN,5,v2_delta,23.89441121100024,272.3614617876077,26.55818272544154,0.9185999954486398,0.26554047977067485,0.9145140479875851,0.57,0.1271517703586333,True,0.0
TranslationNormalizedDeltaKNN,10,v2_delta,23.89273723754227,262.05125971785765,25.32436894042078,0.9186056980979285,0.2933433341683397,0.9184854697941496,0.565,0.13983828755828862,True,0.0
VelocityDeltaKNN,1,v2_delta,29.953941014144576,327.7295375538728,34.42128080343257,0.8979572707043708,0.11623297460306148,0.889204167717798,0.55,0.05104452921057551,True,0.0
VelocityDeltaKNN,3,v2_delta,22.481610057234708,297.7742934798239,24.91708026036851,0.9234129209202554,0.1970113418749151,0.9197964578582837,0.55,0.09203258031142314,True,0.0
VelocityDeltaKNN,5,v2_delta,21.361882670584652,288.7027436158304,23.189089137269402,0.9272274453111153,0.2214740030646275,0.9253585464904107,0.56,0.10641604173772909,True,0.0
VelocityDeltaKNN,10,v2_delta,20.63647503687523,280.12643153333596,21.961804011048628,0.9296986585234481,0.24460118859265145,0.9293089537336425,0.555,0.11728807866795804,True,0.0
PermutationConsistentDeltaKNN,1,v2_delta,41.907194697448865,299.9084551399558,43.97907928162822,0.8572366647169508,0.19125628630022207,0.8584393555882143,0.555,0.07811223414194142,True,0.0
PermutationConsistentDeltaKNN,3,v2_delta,28.847876178175465,275.6771953160317,29.922900512193454,0.9017252515048576,0.25659915583845994,0.9036836343923789,0.57,0.11918476045105106,True,0.0
PermutationConsistentDeltaKNN,5,v2_delta,27.430143361864886,269.6461965975294,28.29974594273336,0.9065549774470966,0.2728625596116012,0.9089082732567194,0.57,0.12815424834696598,True,0.0
PermutationConsistentDeltaKNN,10,v2_delta,27.214759113591434,254.91755442677038,28.52200493882943,0.9072887171753925,0.31258033536212515,0.9081928620378488,0.565,0.14552368882641675,True,0.0
LastVelocityBaseline,1,v2_delta,16.430497051901607,1221.9634614940835,18.033882153233026,0.9440269725420066,-2.2951897517960265,0.941952218633092,0.56,0.0,True,0.0
LastVelocityBaseline,3,v2_delta,16.430497051901607,1221.9634614940835,18.033882153233026,0.9440269725420066,-2.2951897517960265,0.941952218633092,0.56,0.0,True,0.0
LastVelocityBaseline,5,v2_delta,16.430497051901607,1221.9634614940835,18.033882153233026,0.9440269725420066,-2.2951897517960265,0.941952218633092,0.56,0.0,True,0.0
LastVelocityBaseline,10,v2_delta,16.430497051901607,1221.9634614940835,18.033882153233026,0.9440269725420066,-2.2951897517960265,0.941952218633092,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.3,1,v2_blend,14.167626863431376,731.0845002069175,16.043052990548325,0.9517357895542381,-0.9714682383655042,0.9483603350326809,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.5,1,v2_blend,16.85888038108634,506.2223316764092,19.179453383969992,0.9425676185266496,-0.3650969869678622,0.9382648335333664,0.565,0.0,True,0.0
Blend_TransNorm_LastVel_a0.7,1,v2_blend,22.910000813382727,363.2725410079825,25.886749645560812,0.9219535416038002,0.020386458384949346,0.9166752687548196,0.57,0.009820671680591088,True,0.0
Blend_TransNorm_LastVel_a0.3,3,v2_blend,12.970481960505547,727.5155642679952,14.638712292044685,0.9558140486787793,-0.961844119886238,0.9528806519083668,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.5,3,v2_blend,13.72196688901849,498.9081845265706,15.42240155958889,0.9532539991315835,-0.3453733998961117,0.9503580989230772,0.565,0.0,True,0.0
Blend_TransNorm_LastVel_a0.7,3,v2_blend,16.91998114241968,351.1204461792529,18.6437995004689,0.9423594693403522,0.0531562257342304,0.9399890058027428,0.57,0.02683912578642298,True,0.0
Blend_TransNorm_LastVel_a0.3,5,v2_blend,12.711248870289328,724.5882151489817,14.439644366215214,0.9566971662637712,-0.9539501270453163,0.9535214152968334,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.5,5,v2_blend,13.069094096520129,494.19264445851354,14.972784869479707,0.9554781111974359,-0.33265730829755746,0.9518053331405689,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.7,5,v2_blend,15.69681453392878,344.7474152663916,17.84936459509862,0.9465263754264245,0.07034196558136363,0.9425461470386306,0.57,0.03577047425268707,True,0.0
Blend_TransNorm_LastVel_a0.3,10,v2_blend,12.706365128575483,723.4366731249793,14.083594335895292,0.9567138034846772,-0.9508448382246377,0.9546674754817718,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.5,10,v2_blend,13.063040979223937,491.34887508664144,14.37265667361969,0.9554987320769842,-0.32498869954946374,0.9537370364759571,0.56,0.0,True,0.0
Blend_TransNorm_LastVel_a0.7,10,v2_blend,15.691261202831749,339.47179241448896,16.999789050770392,0.946545293707046,0.08456839616110867,0.9452807759461949,0.565,0.04275222955447317,True,0.0
