swap_ratio,model,epoch,train_loss,mse_loss,identity_loss,val_clean_skill
0.1,ObjectCentricFeatureModel,14,44.6848,44.4748,0.2100,0.8454
0.1,ObjectCentricFeatureModel,15,42.8182,42.6370,0.1812,0.8451
0.1,ObjectCentricFeatureModel,16,40.9457,40.7740,0.1717,0.8562
0.1,ObjectCentricFeatureModel,17,39.8772,39.6806,0.1966,0.8506
0.1,ObjectCentricFeatureModel,18,38.8019,38.6141,0.1878,0.8606
0.1,ObjectCentricFeatureModel,19,37.5103,37.3683,0.1419,0.8645
0.1,ObjectCentricFeatureModel,20,36.5278,36.3807,0.1471,0.8622
0.3,MLPPositionFeature,1,535.6594,534.2802,1.3792,0.0985
0.3,MLPPositionFeature,2,193.4682,192.2097,1.2585,0.0439
0.3,MLPPositionFeature,3,160.6526,159.5072,1.1453,0.2635
0.3,MLPPositionFeature,4,135.0738,133.9006,1.1732,0.4276
0.3,MLPPositionFeature,5,114.5059,113.3860,1.1199,0.5668
0.3,MLPPositionFeature,6,96.2395,95.2315,1.0080,0.6499
0.3,MLPPositionFeature,7,82.2055,81.3282,0.8772,0.6832
0.3,MLPPositionFeature,8,73.2275,72.3149,0.9126,0.7357
0.3,MLPPositionFeature,9,66.9216,66.1018,0.8198,0.7700
0.3,MLPPositionFeature,10,62.9480,62.2765,0.6715,0.7761
0.3,MLPPositionFeature,11,59.2542,58.5492,0.7050,0.8052
0.3,MLPPositionFeature,12,54.9163,54.2795,0.6368,0.8030
0.3,MLPPositionFeature,13,52.7907,52.1911,0.5996,0.8174
0.3,MLPPositionFeature,14,50.4283,49.8717,0.5565,0.8254
0.3,MLPPositionFeature,15,49.7241,49.2279,0.4963,0.8252
0.3,MLPPositionFeature,16,47.7795,47.3361,0.4434,0.8394
0.3,MLPPositionFeature,17,46.9453,46.5053,0.4399,0.8301
0.3,MLPPositionFeature,18,44.9067,44.5017,0.4050,0.8430
0.3,MLPPositionFeature,19,45.1167,44.7109,0.4058,0.8454
0.3,MLPPositionFeature,20,45.1050,44.7015,0.4035,0.8464
0.3,ObjectCentricFeatureModel,1,844.7219,844.0799,0.6420,-0.4765
0.3,ObjectCentricFeatureModel,2,220.8203,220.2260,0.5943,0.1887
0.3,ObjectCentricFeatureModel,3,152.3802,151.9437,0.4364,0.3427
0.3,ObjectCentricFeatureModel,4,121.9038,121.4490,0.4547,0.4761
0.3,ObjectCentricFeatureModel,5,95.4250,95.0023,0.4226,0.6282
0.3,ObjectCentricFeatureModel,6,74.5545,74.1189,0.4356,0.7146
0.3,ObjectCentricFeatureModel,7,63.5043,63.1252,0.3790,0.7657
0.3,ObjectCentricFeatureModel,8,60.5337,60.2184,0.3153,0.7893
0.3,ObjectCentricFeatureModel,9,56.3850,56.0753,0.3097,0.8080
0.3,ObjectCentricFeatureModel,10,53.3045,53.0374,0.2671,0.8158
0.3,ObjectCentricFeatureModel,11,52.2256,51.9787,0.2469,0.8181
0.3,ObjectCentricFeatureModel,12,50.2838,50.0472,0.2366,0.8198
0.3,ObjectCentricFeatureModel,13,48.4340,48.2127,0.2212,0.8316
0.3,ObjectCentricFeatureModel,14,47.3766,47.1822,0.1943,0.8370
0.3,ObjectCentricFeatureModel,15,45.5668,45.4111,0.1557,0.8384
0.3,ObjectCentricFeatureModel,16,44.3756,44.2263,0.1493,0.8450
0.3,ObjectCentricFeatureModel,17,43.1223,42.9681,0.1541,0.8490
0.3,ObjectCentricFeatureModel,18,41.4511,41.2926,0.1585,0.8543
0.3,ObjectCentricFeatureModel,19,40.9578,40.8031,0.1546,0.8596
0.3,ObjectCentricFeatureModel,20,39.3907,39.2356,0.1550,0.8604
0.5,MLPPositionFeature,1,516.4187,515.4055,1.0132,0.0720
0.5,MLPPositionFeature,2,196.7599,195.5269,1.2330,0.0572
0.5,MLPPositionFeature,3,157.3697,156.3445,1.0252,0.2852
0.5,MLPPositionFeature,4,130.6224,129.4967,1.1257,0.4608
0.5,MLPPositionFeature,5,110.1371,109.1453,0.9919,0.5907
0.5,MLPPositionFeature,6,93.1736,92.2850,0.8886,0.6619
0.5,MLPPositionFeature,7,80.7231,79.9057,0.8173,0.6840
0.5,MLPPositionFeature,8,71.6018,70.8607,0.7412,0.7431
0.5,MLPPositionFeature,9,65.2047,64.4540,0.7507,0.7739
0.5,MLPPositionFeature,10,60.3662,59.6571,0.7091,0.7763
0.5,MLPPositionFeature,11,57.6571,57.0616,0.5955,0.8056
0.5,MLPPositionFeature,12,53.9144,53.2957,0.6187,0.8199
0.5,MLPPositionFeature,13,51.8321,51.2542,0.5778,0.8118
0.5,MLPPositionFeature,14,50.8595,50.3172,0.5424,0.8308
0.5,MLPPositionFeature,15,49.9763,49.4849,0.4914,0.8104
0.5,MLPPositionFeature,16,48.8578,48.4524,0.4054,0.8322
0.5,MLPPositionFeature,17,47.0886,46.6886,0.4001,0.8330
0.5,MLPPositionFeature,18,45.5976,45.1883,0.4093,0.8390
