dataset,swap_mean_approach,swap_std_approach,no_swap_mean_approach,no_swap_std_approach,n_swap,n_no_swap
swap_test,-0.8705,7.9687,nan,nan,104,0
clean_test,nan,nan,0.1204,7.9862,0,105
