mechanism,identity_swap_only,avg_confidence_correct,avg_confidence_incorrect,confidence_calibration_error,chosen_source_feature_rate,chosen_source_trajectory_rate,chosen_source_uncertain_rate,chosen_source_agreement_rate,abstention_rate,accuracy_when_not_abstaining
ObjectFile_v4,0.0962,1.0000,1.0000,0.0000,nan,nan,nan,nan,0.0000,0.0962
ImprovedObjectFile_v4.1,0.6058,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6058
ConflictFirst_margin_v4.2,0.5288,0.8673,0.2407,0.6266,0.0865,0.4712,0.0000,0.4423,0.0000,0.5288
TrajRobust_aware_v4.3,0.5673,0.8678,0.5724,0.2954,0.0000,0.4327,0.0000,0.4423,0.0000,0.5673
TrajRobust_aware_aug_v4.3,0.6250,0.8415,0.5721,0.2694,0.0000,0.3654,0.0096,0.3558,0.0096,0.6311
TrajRobust_veto_v4.3,0.5096,0.8868,0.5855,0.3013,0.0000,0.0000,0.0000,0.4423,0.0000,0.5096
TrajRobust_veto_aug_v4.3,0.5288,0.8673,0.5737,0.2936,0.0000,0.0000,0.0000,0.3558,0.0000,0.5288
