episode_idx,timestep,object_idx,identity_key_0,identity_key_1,last_pos_x,last_pos_y,occluded,feature_confidence,trajectory_confidence,total_confidence
1,16,0,1.0000,0.0000,49.9482,52.2953,False,0.0000,0.2687,0.3000
1,16,1,0.0000,1.0000,2.8178,42.6130,False,0.0000,0.0125,0.3000
1,17,0,1.0000,0.0000,48.9624,51.9469,False,0.0000,0.2843,0.3000
1,17,1,0.0000,1.0000,3.4113,41.7915,False,0.0000,0.0134,0.3000
1,18,0,1.0000,0.0000,47.7740,51.4464,False,0.0000,0.3042,0.3000
1,18,1,0.0000,1.0000,3.9958,40.9019,False,0.0000,0.0142,0.3000
1,19,0,1.0000,0.0000,46.5009,50.9942,False,0.0000,0.3204,0.3000
1,19,1,0.0000,1.0000,4.5640,39.8183,False,0.0000,0.0151,0.3000
2,0,0,0.0000,1.0000,21.1957,22.5404,False,0.0000,0.4818,0.3493
2,0,1,1.0000,0.0000,20.0034,10.9760,False,0.0000,0.3956,0.3493
2,1,0,0.0000,1.0000,19.8151,23.1905,False,0.0000,0.5177,0.3641
2,1,1,1.0000,0.0000,19.7755,10.9676,False,0.0000,0.4002,0.3641
2,2,0,0.0000,1.0000,18.6702,24.0094,False,0.0000,0.5253,0.3715
2,2,1,1.0000,0.0000,19.7113,11.2321,False,0.0000,0.4106,0.3715
2,3,0,0.0000,1.0000,17.7724,25.0115,False,0.0000,0.5034,0.3700
2,3,1,1.0000,0.0000,19.5799,11.5550,False,0.0000,0.4250,0.3700
2,4,0,0.0000,1.0000,17.1573,26.0604,False,0.0000,0.4661,0.3636
2,4,1,1.0000,0.0000,19.5125,12.0157,False,0.0000,0.4433,0.3636
2,5,0,0.0000,1.0000,16.5944,27.0531,False,0.0000,0.4291,0.3563
2,5,1,1.0000,0.0000,19.5553,12.5589,False,0.0000,0.4622,0.3563
2,6,0,0.0000,1.0000,16.1537,27.9892,False,0.0000,0.3940,0.3505
2,6,1,1.0000,0.0000,19.6662,13.3223,False,0.0000,0.4872,0.3505
2,7,0,0.0000,1.0000,15.8451,28.9685,False,0.0000,0.3586,0.3442
2,7,1,1.0000,0.0000,19.7086,14.1618,False,0.0000,0.5163,0.3442
2,8,0,0.0000,1.0000,15.7699,29.7912,False,0.0000,0.3306,0.3379
2,8,1,1.0000,0.0000,19.8542,15.0070,False,0.0000,0.5396,0.3379
2,9,0,0.0000,1.0000,16.0665,30.6664,False,0.0000,0.3022,0.3294
2,9,1,1.0000,0.0000,20.0238,15.9817,False,0.0000,0.5610,0.3294
2,10,0,0.0000,1.0000,16.3176,31.5300,False,0.0000,0.2767,0.3184
2,10,1,1.0000,0.0000,20.2540,17.0261,False,0.0000,0.5726,0.3184
2,11,0,0.0000,1.0000,16.4779,32.5017,False,0.0000,0.2508,0.3000
2,11,1,1.0000,0.0000,20.7088,18.1388,False,0.0000,0.5605,0.3000
2,12,0,0.0000,1.0000,16.7353,33.4992,False,0.0000,0.2264,0.3000
2,12,1,1.0000,0.0000,21.1512,19.2159,False,0.0000,0.5371,0.3000
2,13,0,0.0000,1.0000,17.1031,34.4601,False,0.0000,0.2049,0.3000
2,13,1,1.0000,0.0000,21.5772,20.3465,False,0.0000,0.5059,0.3000
2,14,0,0.0000,1.0000,17.5096,35.2770,False,0.0000,0.1879,0.3000
2,14,1,1.0000,0.0000,22.1483,21.4117,False,0.0000,0.4643,0.3000
2,15,0,0.0000,1.0000,17.8425,35.9511,False,0.0000,0.1748,0.3000
2,15,1,1.0000,0.0000,22.8173,22.5224,False,0.0000,0.4180,0.3000
2,16,0,0.0000,1.0000,18.2528,36.6573,False,0.0000,0.1619,0.3000
2,16,1,1.0000,0.0000,23.5410,23.5902,False,0.0000,0.3732,0.3000
2,17,0,0.0000,1.0000,18.6998,37.4262,False,0.0000,0.1489,0.3000
2,17,1,1.0000,0.0000,24.2930,24.5795,False,0.0000,0.3326,0.3000
2,18,0,0.0000,1.0000,19.3714,38.2395,False,0.0000,0.1356,0.3000
2,18,1,1.0000,0.0000,25.2802,25.4731,False,0.0000,0.2917,0.3000
2,19,0,0.0000,1.0000,20.0426,38.8590,False,0.0000,0.1257,0.3000
2,19,1,1.0000,0.0000,26.2880,26.2992,False,0.0000,0.2562,0.3000
