model,k,clean_mse,cf_mse,comp_mse,clean_skill,cf_skill,comp_skill,identity_acc,gated_svt_score,gate_passed,old_smss
RawTrajectoryKNN,1,113.47576846095023,259.6193693813846,119.62791102224094,0.6134272576284258,0.2999012553883733,0.6149395473811469,0.775,0.08767494054165938,True,0.0
RawTrajectoryKNN,3,74.69914800423724,209.4560009568896,79.20838980992839,0.745525807945903,0.4351735632410617,0.7450426228227701,0.83,0.20062469864602936,True,0.0
RawTrajectoryKNN,5,71.21347943558125,199.5992978540957,72.85937275909863,0.7574002766175776,0.4617534963358777,0.7654789520906347,0.815,0.21818581607357643,True,0.0
RawTrajectoryKNN,10,70.15335915323963,187.21966536947832,75.67793819314801,0.7610117401956326,0.495136849750091,0.7564065034246279,0.805,0.2294392637840108,True,0.0
TranslationNormalizedKNN,1,70.49025873810598,250.09351198997553,75.9093887372656,0.7598640396936487,0.3255890182735761,0.7556615062871269,0.75,0.14021491189366864,True,0.0
TranslationNormalizedKNN,3,46.73373462770564,211.8515289664624,49.47497279692106,0.8407943105270574,0.42871369795373704,0.8407490755652669,0.77,0.2333534617242898,True,0.0
TranslationNormalizedKNN,5,43.420166159962015,200.49843479539814,46.91885468730124,0.8520824936077689,0.45932885195999895,0.8489767541047213,0.81,0.2691449194523346,True,0.0
TranslationNormalizedKNN,10,44.42886575925682,188.95183938658386,46.45287651885916,0.8486462025333208,0.490465808226055,0.8504766529403488,0.815,0.2885063748479741,True,0.0
VelocityOnlyKNN,1,351.6667094791967,461.5326786344184,339.0852230990232,-0.1980069941623055,-0.24458529299688725,-0.09145356102222424,0.645,0.0,False,0.42762559302429176
VelocityOnlyKNN,3,241.5724944829949,369.4294884923437,227.26865821054054,0.17704596372952097,0.0037834167293444576,0.26846359140752607,0.685,0.0,False,0.0
VelocityOnlyKNN,5,215.0804285800808,336.43796362638864,205.17843795799993,0.2672952804433548,0.09274952583173623,0.3395679861612889,0.66,0.0,False,0.0
VelocityOnlyKNN,10,192.79718849192642,322.63160000609696,188.25239177532112,0.3432065815663462,0.1299802527272269,0.3940498453566583,0.605,0.0,False,0.0
PermutationMinKNN,1,113.47576846095023,259.6193693813846,119.62791102224094,0.6134272576284258,0.2999012553883733,0.6149395473811469,0.775,0.08767494054165938,True,0.0
PermutationMinKNN,3,74.69914800423724,209.4560009568896,79.20838980992839,0.745525807945903,0.4351735632410617,0.7450426228227701,0.83,0.20062469864602936,True,0.0
PermutationMinKNN,5,71.21347943558125,199.5992978540957,72.85937275909863,0.7574002766175776,0.4617534963358777,0.7654789520906347,0.815,0.21818581607357643,True,0.0
PermutationMinKNN,10,70.15335915323963,187.21966536947832,75.67793819314801,0.7610117401956326,0.495136849750091,0.7564065034246279,0.805,0.2294392637840108,True,0.0
