split,mse,mean_predictor_mse,skill_score,identity_accuracy
clean_test,0.0,325.89912330060264,1.0,1.0
counterfactual_test,591.2726611130103,339.2717796361586,-0.7427699461095825,1.0
compositional_test,0.0,337.8428560410477,1.0,1.0
identity_test,266.57177731258486,328.9102510346532,0.18953034612320585,1.0
