episode_idx,timestep,object_idx,identity_key_0,identity_key_1,last_pos_x,last_pos_y,occluded,confidence
2,7,1,1.0000,0.0000,19.7086,14.1618,False,1.0000
2,8,0,0.0000,1.0000,15.7699,29.7912,False,1.0000
2,8,1,1.0000,0.0000,19.8542,15.0070,False,1.0000
2,9,0,0.0000,1.0000,16.0665,30.6664,False,1.0000
2,9,1,1.0000,0.0000,20.0238,15.9817,False,1.0000
2,10,0,0.0000,1.0000,16.3176,31.5300,False,1.0000
2,10,1,1.0000,0.0000,20.2540,17.0261,False,1.0000
2,11,0,0.0000,1.0000,16.4779,32.5017,False,1.0000
2,11,1,1.0000,0.0000,20.7088,18.1388,False,1.0000
2,12,0,0.0000,1.0000,16.7353,33.4992,False,1.0000
2,12,1,1.0000,0.0000,21.1512,19.2159,False,1.0000
2,13,0,0.0000,1.0000,17.1031,34.4601,False,1.0000
2,13,1,1.0000,0.0000,21.5772,20.3465,False,1.0000
2,14,0,0.0000,1.0000,17.5096,35.2770,False,1.0000
2,14,1,1.0000,0.0000,22.1483,21.4117,False,1.0000
2,15,0,0.0000,1.0000,17.8425,35.9511,False,1.0000
2,15,1,1.0000,0.0000,22.8173,22.5224,False,1.0000
2,16,0,0.0000,1.0000,18.2528,36.6573,False,1.0000
2,16,1,1.0000,0.0000,23.5410,23.5902,False,1.0000
2,17,0,0.0000,1.0000,18.6998,37.4262,False,1.0000
2,17,1,1.0000,0.0000,24.2930,24.5795,False,1.0000
2,18,0,0.0000,1.0000,19.3714,38.2395,False,1.0000
2,18,1,1.0000,0.0000,25.2802,25.4731,False,1.0000
2,19,0,0.0000,1.0000,20.0426,38.8590,False,1.0000
2,19,1,1.0000,0.0000,26.2880,26.2992,False,1.0000
3,0,0,0.0000,1.0000,40.4784,21.7323,False,1.0000
3,0,1,1.0000,0.0000,34.6582,17.0971,False,1.0000
3,1,0,0.0000,1.0000,40.4501,21.7214,False,1.0000
3,1,1,1.0000,0.0000,33.9344,17.5121,False,1.0000
3,2,0,0.0000,1.0000,40.2900,21.9262,False,1.0000
3,2,1,1.0000,0.0000,33.2881,18.0224,False,1.0000
3,3,0,0.0000,1.0000,39.9577,22.1826,False,1.0000
3,3,1,1.0000,0.0000,32.7669,18.6697,False,1.0000
3,4,0,0.0000,1.0000,39.6880,22.6034,False,1.0000
3,4,1,1.0000,0.0000,32.1923,19.5688,False,1.0000
3,5,0,0.0000,1.0000,39.3864,23.0747,False,1.0000
3,5,1,1.0000,0.0000,31.3695,20.5396,False,1.0000
3,6,0,0.0000,1.0000,38.9019,23.6401,False,1.0000
3,6,1,1.0000,0.0000,30.4502,21.5837,False,1.0000
3,7,0,0.0000,1.0000,38.2568,24.2257,False,1.0000
3,7,1,1.0000,0.0000,29.5880,22.5432,False,1.0000
3,8,0,0.0000,1.0000,37.3221,25.0174,False,1.0000
3,8,1,1.0000,0.0000,28.7218,23.6634,False,1.0000
3,9,0,0.0000,1.0000,36.4886,25.8191,False,1.0000
3,9,1,1.0000,0.0000,27.9804,24.8953,False,1.0000
3,10,0,0.0000,1.0000,35.5180,26.5810,False,1.0000
3,10,1,1.0000,0.0000,27.3514,26.1366,False,1.0000
3,11,0,0.0000,1.0000,34.5263,27.4146,False,1.0000
3,11,1,1.0000,0.0000,26.8013,27.4577,False,1.0000
3,12,0,0.0000,1.0000,33.5147,28.4622,False,1.0000
3,12,1,1.0000,0.0000,26.4485,28.8228,False,1.0000
3,13,0,0.0000,1.0000,32.4958,29.6674,False,1.0000
3,13,1,1.0000,0.0000,26.1330,30.1472,False,1.0000
3,14,0,0.0000,1.0000,31.4609,31.1576,False,1.0000
3,14,1,1.0000,0.0000,25.9562,31.4683,False,1.0000
3,15,0,0.0000,1.0000,31.4609,31.1576,True,1.0000
3,15,1,1.0000,0.0000,25.9562,31.4683,True,1.0000
3,16,0,0.0000,1.0000,31.4609,31.1576,True,1.0000
3,16,1,1.0000,0.0000,25.9562,31.4683,True,1.0000
3,17,0,0.0000,1.0000,31.4609,31.1576,True,1.0000
3,17,1,1.0000,0.0000,25.9562,31.4683,True,1.0000
3,18,0,0.0000,1.0000,31.4609,31.1576,True,1.0000
3,18,1,1.0000,0.0000,25.9562,31.4683,True,1.0000
3,19,0,0.0000,1.0000,31.4609,31.1576,True,1.0000
3,19,1,1.0000,0.0000,25.9562,31.4683,True,1.0000
4,0,0,0.0000,1.0000,24.7541,58.6673,False,1.0000
4,0,1,1.0000,0.0000,42.1452,38.7246,False,1.0000
4,1,0,0.0000,1.0000,23.5270,57.8877,False,1.0000
4,1,1,1.0000,0.0000,43.2815,38.6604,False,1.0000
4,2,0,0.0000,1.0000,22.6346,56.9714,False,1.0000
4,2,1,1.0000,0.0000,44.4051,38.4851,False,1.0000
4,3,0,0.0000,1.0000,21.7940,56.0446,False,1.0000
4,3,1,1.0000,0.0000,45.2666,38.4246,False,1.0000
4,4,0,0.0000,1.0000,21.0977,55.1298,False,1.0000
4,4,1,1.0000,0.0000,46.0955,38.3465,False,1.0000
4,5,0,0.0000,1.0000,20.4234,54.1116,False,1.0000
4,5,1,1.0000,0.0000,46.8112,38.2211,False,1.0000
4,6,0,0.0000,1.0000,19.5706,53.2476,False,1.0000
4,6,1,1.0000,0.0000,47.3475,38.1022,False,1.0000
4,7,0,0.0000,1.0000,18.8515,52.3959,False,1.0000
4,7,1,1.0000,0.0000,47.6530,37.8248,False,1.0000
4,8,0,0.0000,1.0000,18.3139,51.6158,False,1.0000
4,8,1,1.0000,0.0000,47.9266,37.3941,False,1.0000
4,9,0,0.0000,1.0000,17.7056,50.7733,False,1.0000
4,9,1,1.0000,0.0000,48.2352,36.9160,False,1.0000
4,10,0,0.0000,1.0000,16.9811,49.8045,False,1.0000
4,10,1,1.0000,0.0000,48.2634,36.4968,False,1.0000
4,11,0,0.0000,1.0000,16.1830,48.6410,False,1.0000
4,11,1,1.0000,0.0000,48.2540,35.9726,False,1.0000
4,12,0,0.0000,1.0000,15.5407,47.4866,False,1.0000
4,12,1,1.0000,0.0000,48.2088,35.3997,False,1.0000
4,13,0,0.0000,1.0000,15.0813,46.4768,False,1.0000
4,13,1,1.0000,0.0000,47.8942,34.8826,False,1.0000
4,14,0,0.0000,1.0000,14.6542,45.4816,False,1.0000
4,14,1,1.0000,0.0000,47.3944,34.2085,False,1.0000
4,15,0,0.0000,1.0000,14.3283,44.4055,False,1.0000
4,15,1,1.0000,0.0000,46.6649,33.7466,False,1.0000
4,16,0,0.0000,1.0000,14.1156,43.3183,False,1.0000
4,16,1,1.0000,0.0000,45.8729,33.2216,False,1.0000
4,17,0,0.0000,1.0000,14.0152,42.2172,False,1.0000
4,17,1,1.0000,0.0000,44.9703,32.6948,False,1.0000
4,18,0,0.0000,1.0000,13.9878,41.0755,False,1.0000
4,18,1,1.0000,0.0000,44.0365,32.1465,False,1.0000
4,19,0,0.0000,1.0000,14.2187,39.8974,False,1.0000
4,19,1,1.0000,0.0000,43.0672,31.7481,False,1.0000
