episode_idx,timestep,object_idx,identity_key_0,identity_key_1,last_pos_x,last_pos_y,occluded,confidence
1,17,1,0.0000,1.0000,3.4113,41.7915,False,1.0000
1,18,0,1.0000,0.0000,47.7740,51.4464,False,1.0000
1,18,1,0.0000,1.0000,3.9958,40.9019,False,1.0000
1,19,0,1.0000,0.0000,46.5009,50.9942,False,1.0000
1,19,1,0.0000,1.0000,4.5640,39.8183,False,1.0000
2,0,0,0.0000,1.0000,21.1957,22.5404,False,1.0000
2,0,1,1.0000,0.0000,20.0034,10.9760,False,1.0000
2,1,0,0.0000,1.0000,19.8151,23.1905,False,1.0000
2,1,1,1.0000,0.0000,19.7755,10.9676,False,1.0000
2,2,0,0.0000,1.0000,18.6702,24.0094,False,1.0000
2,2,1,1.0000,0.0000,19.7113,11.2321,False,1.0000
2,3,0,0.0000,1.0000,17.7724,25.0115,False,1.0000
2,3,1,1.0000,0.0000,19.5799,11.5550,False,1.0000
2,4,0,0.0000,1.0000,17.1573,26.0604,False,1.0000
2,4,1,1.0000,0.0000,19.5125,12.0157,False,1.0000
2,5,0,0.0000,1.0000,16.5944,27.0531,False,1.0000
2,5,1,1.0000,0.0000,19.5553,12.5589,False,1.0000
2,6,0,0.0000,1.0000,16.1537,27.9892,False,1.0000
2,6,1,1.0000,0.0000,19.6662,13.3223,False,1.0000
2,7,0,0.0000,1.0000,15.8451,28.9685,False,1.0000
