seed,model,feature_mode,clean_skill,cf_skill,comp_skill,identity_overall,identity_swap_only,gated_score_overall_id,gated_score_swap_only,score_drop,no_swap_bias_flag
0,LastVelocityBaseline,feature_bearing,-25.2114,-8.1762,-43.6378,0.7736,0.0400,0.0000,0.0000,0.0000,True
0,RawTrajectoryKNN,feature_bearing,0.4890,0.4693,0.4087,0.8679,0.6000,0.0000,0.0000,0.0000,True
0,RawDeltaKNN,feature_bearing,0.7287,0.6981,0.5876,0.8019,0.2000,0.2397,0.0598,0.1799,True
0,TranslationNormalizedKNN,feature_bearing,0.4826,0.5774,0.3382,0.8396,0.4000,0.0000,0.0000,0.0000,True
