split,mse,mean_predictor_mse,skill_score,identity_accuracy
clean_test,0.0,293.5431188572452,1.0,1.0
counterfactual_test,284.94354044343567,370.83250238565427,0.23161120287373504,1.0
compositional_test,0.0,310.6730649918313,1.0,1.0
identity_test,38.59915748310079,306.33572579081857,0.873997205570929,1.0
