split,mse,mean_predictor_mse,skill_score,identity_accuracy
clean_test,0.0,308.67672740654007,1.0,1.0
counterfactual_test,536.6359235572494,463.1255969964189,-0.15872654640032535,1.0
compositional_test,0.0,320.3245557282599,1.0,1.0
identity_test,140.57015637774103,312.85385868826336,0.5506842812579493,1.0
